county,gen_ai_KEYES,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_BALDWIN,gen_ind_HARRIS,gen_ind_MOORE,gen_ind_PAUL,gen_lib_BARR,gen_pf_NADER,gen_rep_MCCAIN,rep_general_total,dem_general_total,lib_general_total,grn_general_total,ind_general_total,ai_general_total,pf_general_total
Alameda,1205,489106,2536,116,5,10,513,2426,5557,119555,119555,489106,2426,2536,644,1205,5557
Alpine,5,422,5,0,0,0,1,2,5,252,252,422,2,5,1,5,5
Amador,103,7813,43,5,0,0,36,92,157,10561,10561,7813,92,43,41,103,157
Butte,473,49013,335,21,0,0,223,526,1028,46706,46706,49013,526,335,244,473,1028
Calaveras,118,9813,83,14,0,0,44,170,229,12835,12835,9813,170,83,58,118,229
Colusa,18,2569,19,0,0,0,12,30,48,3733,3733,2569,30,19,12,18,48
Contra Costa,1356,306983,1112,71,4,3,464,1868,3353,136436,136436,306983,1868,1112,542,1356,3353
Del Norte,47,4323,36,0,0,0,0,42,116,4967,4967,4323,42,36,0,47,116
El Dorado,358,40529,211,38,0,1,167,502,806,50314,50314,40529,502,211,206,358,806
Fresno,812,136706,609,42,0,1,283,911,1910,131015,131015,136706,911,609,326,812,1910
Glenn,50,3734,26,2,0,0,8,52,97,5910,5910,3734,52,26,10,50,97
Humboldt,204,39692,646,24,0,0,203,320,925,21713,21713,39692,320,646,227,204,925
Imperial,80,24162,146,4,0,0,15,134,271,14008,14008,24162,134,146,19,80,271
Inyo,51,3743,32,1,0,0,23,53,107,4523,4523,3743,53,32,24,51,107
Kern,938,93457,535,123,0,0,366,1068,1570,134793,134793,93457,1068,535,489,938,1570
Kings,111,14747,72,11,0,0,22,173,262,19710,19710,14747,173,72,33,111,262
Lake,113,14854,137,14,0,0,49,153,287,9935,9935,14854,153,137,63,113,287
Lassen,93,3586,23,6,0,0,35,54,107,7483,7483,3586,54,23,41,93,107
Los Angeles,9201,2295853,11238,308,17,3,1290,16967,26946,956425,956425,2295853,16967,11238,1618,9201,26946
Madera,157,17952,87,20,0,0,48,169,339,23583,23583,17952,169,87,68,157,339
Marin,246,109320,359,25,1,0,164,715,983,28384,28384,109320,715,359,190,246,983
Mariposa,41,4100,28,9,0,0,23,51,101,5298,5298,4100,51,28,32,41,101
Mendocino,143,27843,341,26,0,0,60,236,646,10721,10721,27843,236,341,86,143,646
Merced,207,34031,127,8,0,0,58,229,444,28704,28704,34031,229,127,66,207,444
Modoc,24,1313,10,3,0,0,28,28,33,2981,2981,1313,28,10,31,24,33
Mono,16,3093,15,0,0,0,0,42,51,2354,2354,3093,42,15,0,16,51
Monterey,376,88453,323,38,1,0,150,586,1059,38797,38797,88453,586,323,189,376,1059
Napa,190,38849,178,20,0,0,75,314,532,19484,19484,38849,314,178,95,190,532
Nevada,141,28617,161,31,0,0,198,355,481,25663,25663,28617,355,161,229,141,481
Orange,3562,549558,2454,373,1,1,3118,7867,7689,579064,579064,549558,7867,2454,3493,3562,7689
Placer,582,75112,316,32,0,0,312,848,1258,94647,94647,75112,848,316,344,582,1258
Plumas,71,4715,26,0,0,0,2,53,126,6035,6035,4715,53,26,2,71,126
Riverside,2193,325017,1318,248,0,1,776,2879,4826,310041,310041,325017,2879,1318,1025,2193,4826
Sacramento,1781,316506,1423,130,0,2,634,2337,4705,213583,213583,316506,2337,1423,766,1781,4705
San Benito,67,11917,53,0,0,0,0,89,154,7425,7425,11917,89,53,0,67,154
San Bernardino,2415,315720,1669,198,1,0,726,2909,5288,277408,277408,315720,2909,1669,925,2415,5288
San Diego,3297,666581,2564,394,0,2,2232,6028,8917,541032,541032,666581,6028,2564,2628,3297,8917
San Francisco,424,322220,1743,37,14,5,398,1786,3946,52292,52292,322220,1786,1743,454,424,3946
San Joaquin,767,113974,531,30,0,0,163,680,1597,91607,91607,113974,680,531,193,767,1597
San Luis Obispo,502,68176,355,60,0,0,475,713,1317,61055,61055,68176,713,355,535,502,1317
San Mateo,609,222826,753,53,2,1,388,1376,2227,75057,75057,222826,1376,753,444,609,2227
Santa Barbara,527,105614,387,39,0,0,363,877,1520,65585,65585,105614,877,387,402,527,1520
Santa Clara,1755,462241,1801,140,1,1,912,3918,4781,190039,190039,462241,3918,1801,1054,1755,4781
Santa Cruz,351,98745,498,49,2,2,384,724,1484,25244,25244,98745,724,498,437,351,1484
Shasta,367,28867,215,53,0,0,148,427,725,49588,49588,28867,427,215,201,367,725
Sierra,17,743,13,5,0,0,17,20,18,1158,1158,743,20,13,22,17,18
Siskiyou,144,9292,68,17,0,0,61,157,211,11520,11520,9292,157,68,78,144,211
Solano,595,102095,325,33,0,0,126,602,1162,56035,56035,102095,602,325,159,595,1162
Sonoma,809,168888,890,56,0,1,286,1292,2002,55127,55127,168888,1292,890,343,809,2002
Stanislaus,669,80279,393,57,0,1,175,635,1309,77497,77497,80279,635,393,233,669,1309
Sutter,144,13412,70,2,0,0,26,151,225,18911,18911,13412,151,70,28,144,225
Tehama,161,8945,74,6,0,0,20,141,246,14843,14843,8945,141,74,26,161,246
Trinity,16,3233,41,0,0,0,20,50,74,2940,2940,3233,50,41,20,16,74
Tulare,360,43634,217,44,0,0,114,354,718,59765,59765,43634,354,217,158,360,718
Tuolumne,114,11532,64,5,0,0,25,153,300,14988,14988,11532,153,64,30,114,300
Ventura,1131,187601,665,80,0,0,399,1813,2258,145853,145853,187601,1813,665,479,1131,2258
Yolo,221,53488,303,17,0,1,119,315,693,24592,24592,53488,315,303,137,221,693
Yuba,145,8866,72,7,0,0,29,120,155,12007,12007,8866,120,72,36,145,155
