county,pri_dem_CLINTON,pri_dem_JUDD,pri_dem_OBAMA,pri_rep_MCCAIN,pri_rep_PAUL,gen_con_BALDWIN,gen_dem_OBAMA,gen_ind_NADER,gen_lib_BARR,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,con_general_total,ind_general_total
Ada,3634,83,7338,18003,6531,777,82236,1978,1083,93328,24534,11055,93328,82236,1083,777,1978
Adams,55,1,107,724,304,20,728,36,19,1517,1028,163,1517,728,19,20,36
Bannock,1590,115,1937,1935,672,257,14792,485,215,19356,2607,3642,19356,14792,215,257,485
Bear Lake,72,7,85,1121,171,27,502,26,11,2377,1292,164,2377,502,11,27,26
Benewah,224,17,269,372,199,38,1407,48,25,2646,571,510,2646,1407,25,38,48
Bingham,348,22,428,4086,864,203,4424,207,91,12230,4950,798,12230,4424,91,203,207
Blaine,336,6,1177,650,109,16,6947,106,63,3439,759,1519,3439,6947,63,16,106
Boise,72,5,155,992,461,25,1240,48,27,2433,1453,232,2433,1240,27,25,48
Bonner,551,17,890,2950,1427,195,7840,259,108,11145,4377,1458,11145,7840,108,195,259
Bonneville,512,12,780,4403,1270,362,11417,334,256,29334,5673,1304,29334,11417,256,362,334
Boundary,174,6,273,879,576,77,1484,67,27,3078,1455,453,3078,1484,27,77,67
Butte,49,4,47,614,150,11,318,18,7,1056,764,100,1056,318,7,11,18
Camas,17,3,22,216,73,1,187,5,3,422,289,42,422,187,3,1,5
Canyon,1132,72,1440,7568,3369,387,20147,639,321,42752,10937,2644,42752,20147,321,387,639
Caribou,53,7,65,1596,257,23,553,56,14,2656,1853,125,2656,553,14,23,56
Cassia,92,6,89,2184,501,72,1332,86,43,6309,2685,187,6309,1332,43,72,86
Clark,4,3,8,200,26,3,64,2,1,305,226,15,305,64,1,3,2
Clearwater,191,7,230,401,107,35,1211,60,31,2569,508,428,2569,1211,31,35,60
Custer,81,10,118,643,230,17,611,18,12,1694,873,209,1694,611,12,17,18
Elmore,272,8,260,1234,348,37,2591,110,33,5665,1582,540,5665,2591,33,37,110
Franklin,36,3,51,1663,230,142,600,48,37,4246,1893,90,4246,600,37,142,48
Fremont,73,7,105,2221,493,44,1065,46,25,4700,2714,185,4700,1065,25,44,46
Gem,176,4,224,1857,702,52,2166,112,32,5585,2559,404,5585,2166,32,52,112
Gooding,155,11,181,1318,331,35,1489,75,27,3765,1649,347,3765,1489,27,35,75
Idaho,295,14,417,1724,921,167,2017,77,54,5895,2645,726,5895,2017,54,167,77
Jefferson,92,9,105,1214,408,138,1641,72,50,8540,1622,206,8540,1641,50,138,72
Jerome,135,10,139,1512,433,36,1794,74,46,4897,1945,284,4897,1794,46,36,74
Kootenai,1559,25,1976,6411,3004,565,22120,592,268,38387,9415,3560,38387,22120,268,565,592
Latah,397,8,705,746,302,204,9195,199,128,7988,1048,1110,7988,9195,128,204,199
Lemhi,83,0,120,1245,379,45,1061,29,32,2938,1624,203,2938,1061,32,45,29
Lewis,118,8,128,412,151,23,479,20,7,1275,563,254,1275,479,7,23,20
Lincoln,73,6,75,578,137,10,545,77,6,1232,715,154,1232,545,6,10,77
Madison,57,6,94,2935,651,149,1627,81,69,11131,3586,157,11131,1627,69,149,81
Minidoka,147,7,114,1348,351,52,1630,79,42,5087,1699,268,5087,1630,42,52,79
Nez Perce,770,32,786,1470,325,82,7123,189,72,10357,1795,1588,10357,7123,72,82,189
Oneida,41,1,29,992,256,27,381,11,19,1724,1248,71,1724,381,19,27,11
Owyhee,91,10,104,1237,409,29,944,37,24,3024,1646,205,3024,944,24,29,37
Payette,201,6,246,985,443,66,2415,105,39,5988,1428,453,5988,2415,39,66,105
Power,86,4,134,236,60,13,1027,28,20,1754,296,224,1754,1027,20,13,28
Shoshone,1050,107,964,348,126,42,2521,111,39,2953,474,2121,2953,2521,39,42,111
Teton,166,4,421,542,127,13,2302,61,19,2263,669,591,2263,2302,19,13,61
Twin Falls,533,23,622,3424,1073,181,8621,358,152,19032,4497,1178,19032,8621,152,181,358
Valley,129,2,249,1156,440,21,2405,65,33,2772,1596,380,2772,2405,33,21,65
Washington,200,16,273,1115,388,28,1241,41,28,3168,1503,489,3168,1241,28,28,41
